Línea 38: <STRING_LITERAL> '"Viernes"'
Línea 38: <RBRACE> '}'
Línea 38: <SEMICOLON> ';'
Línea 39: <FOR> 'for'
Línea 39: <LPAREN> '('
Línea 39: <INT> 'int'
Línea 39: <IDENTIFIER> 'k'
Línea 39: <ASSIGN> '='
Línea 39: <NUMBER> '0'
Línea 39: <SEMICOLON> ';'
Línea 39: <IDENTIFIER> 'k'
Línea 39: <LT> '<'
Línea 39: <IDENTIFIER> 'days'
Línea 39: <DOT> '.'
Línea 39: <IDENTIFIER> 'length'
Línea 39: <SEMICOLON> ';'
Línea 39: <IDENTIFIER> 'k'
Línea 39: <INCREMENT> '++'
Línea 39: <RPAREN> ')'
Línea 39: <LBRACE> '{'
Línea 40: <OUTPUT> 'output'
Línea 40: <GO> '->'
Línea 40: <STRING_LITERAL> '"Día "'
Línea 40: <PLUS> '+'
Línea 40: <IDENTIFIER> 'k'
Línea 40: <PLUS> '+'
Línea 40: <STRING_LITERAL> '": "'
Línea 40: <PLUS> '+'
Línea 40: <IDENTIFIER> 'days'
Línea 40: <LBRACKET> '['
Línea 40: <IDENTIFIER> 'k'
Línea 40: <RBRACKET> ']'
Línea 40: <SEMICOLON> ';'
Línea 41: <RBRACE> '}'
Línea 44: <INT> 'int'
Línea 44: <LBRACKET> '['
Línea 44: <RBRACKET> ']'
Línea 44: <IDENTIFIER> 'nums'
Línea 44: <ASSIGN> '='
Línea 44: <LBRACE> '{'
Línea 44: <NUMBER> '10'
Línea 44: <COMMA> ','
Línea 44: <MINUS> '-'
Línea 44: <NUMBER> '1'
Línea 44: <COMMA> ','
Línea 44: <NUMBER> '20'
Línea 44: <COMMA> ','
Línea 44: <MINUS> '-'
Línea 44: <NUMBER> '2'
Línea 44: <COMMA> ','
Línea 44: <NUMBER> '30'
Línea 44: <COMMA> ','
Línea 44: <NUMBER> '40'
Línea 44: <RBRACE> '}'
Línea 44: <SEMICOLON> ';'
Línea 45: <FOR> 'for'
Línea 45: <LPAREN> '('
Línea 45: <INT> 'int'
Línea 45: <IDENTIFIER> 'n'
Línea 45: <ASSIGN> '='
Línea 45: <NUMBER> '0'
Línea 45: <SEMICOLON> ';'
Línea 45: <IDENTIFIER> 'n'
Línea 45: <LT> '<'
Línea 45: <IDENTIFIER> 'nums'
Línea 45: <DOT> '.'
Línea 45: <IDENTIFIER> 'length'
Línea 45: <SEMICOLON> ';'
Línea 45: <IDENTIFIER> 'n'
Línea 45: <INCREMENT> '++'
Línea 45: <RPAREN> ')'
Línea 45: <LBRACE> '{'
Línea 46: <IF> 'if'
Línea 46: <LPAREN> '('
Línea 46: <IDENTIFIER> 'nums'
Línea 46: <LBRACKET> '['
Línea 46: <IDENTIFIER> 'n'
Línea 46: <RBRACKET> ']'
Línea 46: <LT> '<'
Línea 46: <NUMBER> '0'
Línea 46: <RPAREN> ')'
Línea 46: <CONTINUE> 'continue'
Línea 46: <SEMICOLON> ';'
Línea 47: <IF> 'if'
Línea 47: <LPAREN> '('
Línea 47: <IDENTIFIER> 'nums'
Línea 47: <LBRACKET> '['
Línea 47: <IDENTIFIER> 'n'
Línea 47: <RBRACKET> ']'
Línea 47: <GT> '>'
Línea 47: <NUMBER> '25'
Línea 47: <RPAREN> ')'
Línea 47: <BREAK> 'break'
Línea 47: <SEMICOLON> ';'
Línea 48: <OUTPUT> 'output'
Línea 48: <GO> '->'
Línea 48: <STRING_LITERAL> '"Procesando nums["'
Línea 48: <PLUS> '+'
Línea 48: <IDENTIFIER> 'n'
Línea 48: <PLUS> '+'
Línea 48: <STRING_LITERAL> '"] = "'
Línea 48: <PLUS> '+'
Línea 48: <IDENTIFIER> 'nums'
Línea 48: <LBRACKET> '['
Línea 48: <IDENTIFIER> 'n'
Línea 48: <RBRACKET> ']'
Línea 48: <SEMICOLON> ';'
Línea 49: <RBRACE> '}'
Línea 52: <INT> 'int'
Línea 52: <LBRACKET> '['
Línea 52: <RBRACKET> ']'
Línea 52: <IDENTIFIER> 'big'
Línea 52: <ASSIGN> '='
Línea 52: <LBRACE> '{'
Línea 52: <NUMBER> '10'
Línea 52: <COMMA> ','
Línea 52: <NUMBER> '20'
Línea 52: <COMMA> ','
Línea 52: <NUMBER> '30'
Línea 52: <COMMA> ','
Línea 52: <NUMBER> '40'
Línea 52: <COMMA> ','
Línea 52: <NUMBER> '50'
Línea 52: <COMMA> ','
Línea 52: <NUMBER> '60'
Línea 52: <COMMA> ','
Línea 52: <NUMBER> '70'
Línea 52: <COMMA> ','
Línea 52: <NUMBER> '80'
Línea 52: <COMMA> ','
Línea 52: <NUMBER> '90'
Línea 52: <COMMA> ','
Línea 52: <NUMBER> '100'
Línea 52: <RBRACE> '}'
Línea 52: <SEMICOLON> ';'
Línea 53: <FOR> 'for'
Línea 53: <LPAREN> '('
Línea 53: <INT> 'int'
Línea 53: <IDENTIFIER> 'i'
Línea 53: <ASSIGN> '='
Línea 53: <NUMBER> '0'
Línea 53: <SEMICOLON> ';'
Línea 53: <IDENTIFIER> 'i'
Línea 53: <LT> '<'
Línea 53: <IDENTIFIER> 'big'
Línea 53: <DOT> '.'
Línea 53: <IDENTIFIER> 'length'
Línea 53: <SEMICOLON> ';'
Línea 53: <IDENTIFIER> 'i'
Línea 53: <INCREMENT> '++'
Línea 53: <RPAREN> ')'
Línea 53: <LBRACE> '{'
Línea 54: <OUTPUT> 'output'
Línea 54: <GO> '->'
Línea 54: <IDENTIFIER> 'big'
Línea 54: <LBRACKET> '['
Línea 54: <IDENTIFIER> 'i'
Línea 54: <RBRACKET> ']'
Línea 54: <SEMICOLON> ';'
Línea 55: <RBRACE> '}'
Línea 56: <END> 'end'
Línea 57: <EOF> '<EOF>'
